loading...
preprocessing...
Gram Size before hashing :  376060
Gram Size after hashing :  344293
build training set...
Vocabulary size
71291

# of training samples
167188440

Time Elapsed for Subsampling 00:01:02

Training Set before Subsampling : 167188440
Number of discard : 40776220
Training Set after Subsampling : 126412220
Loss : 12.501758
Loss : 7.846511
Loss : 6.225733
Loss : 5.072010
Loss : 4.356437
Loss : 3.992775
Loss : 3.631709
Loss : 3.657970
Loss : 3.488540
Loss : 3.102684
Loss : 3.241828
Loss : 3.102921
Loss : 3.176188
Loss : 3.177848
Loss : 3.148008
Loss : 3.085911
Loss : 3.003416
Loss : 2.848896
Loss : 2.991939
Loss : 2.946687
Loss : 3.007514
Loss : 2.939872
Loss : 2.965422
Loss : 2.660893
Loss : 2.885924
Loss : 2.922647
Loss : 2.823646
Loss : 2.800086
Loss : 2.949675
Loss : 2.524492
Loss : 2.904422
Loss : 2.835444
Loss : 2.759803
Loss : 2.768426
Loss : 2.751962
Loss : 2.920399
Loss : 2.970878
Loss : 2.898002
Loss : 2.820483
Loss : 2.834000
Loss : 2.825068
Loss : 2.715613
Loss : 2.754001
Loss : 2.662684
Loss : 2.600394
Loss : 2.597315
Loss : 2.397793
Loss : 2.759309
Loss : 2.831505
Loss : 2.770779
Loss : 2.767464
Loss : 2.852356
Loss : 2.847310
Loss : 2.679131
Loss : 2.823410
Loss : 2.888094
Loss : 2.672984
Loss : 2.923436
Loss : 2.803745
Loss : 2.826886
Loss : 2.715783
Loss : 2.688382
Loss : 2.842888
Loss : 2.755614
Loss : 2.775012
Loss : 2.666699
Loss : 2.777438
Loss : 2.785844
Loss : 2.616483
Loss : 2.611913
Loss : 2.651735
Loss : 2.532872
Loss : 2.728608
Loss : 2.821583
Loss : 2.642137
Loss : 2.846255
Loss : 2.819975
Loss : 2.665936
Loss : 2.739771
Loss : 2.684763
Loss : 2.782442
Loss : 2.608385
Loss : 2.742388
Loss : 2.700552
Loss : 2.590669
Loss : 2.645643
Loss : 2.754445
Loss : 2.842574
Loss : 2.872580
Loss : 2.753116
Loss : 2.769893
Loss : 2.646093
Loss : 2.779731
Loss : 2.707899
Loss : 2.753402
Loss : 2.748998
Loss : 2.729586
Loss : 2.709930
Loss : 2.681165
Loss : 2.798710
Loss : 2.761024
Loss : 2.680933
Loss : 2.741856
Loss : 2.790978
Loss : 2.626763
Loss : 2.705481
Loss : 2.759885
Loss : 2.783847
Loss : 2.716069
Loss : 2.707909
Loss : 2.645126
Loss : 2.742174
Loss : 2.714975
Loss : 2.523039
Loss : 2.777848
Loss : 2.643635
Loss : 2.655963
Loss : 2.618937
Loss : 2.746059
Loss : 2.604049
Loss : 2.868126
Loss : 2.591310
Loss : 2.863198
Loss : 2.749737
Loss : 2.802100
Loss : 2.767624
Loss : 2.721092
Loss : 2.739311
Loss : 2.721213
Loss : 2.607335
Loss : 2.707271
Loss : 2.723895
Loss : 2.764645
Loss : 2.814587
Loss : 2.670339
Loss : 2.583075
Loss : 2.691192
Loss : 2.706062
Loss : 2.608364
Loss : 2.538423
Loss : 2.694702
Loss : 2.913125
Loss : 2.700329
Loss : 2.707823
Loss : 2.771662
Loss : 2.824854
Loss : 2.801843
Loss : 2.759562
Loss : 2.684787
Loss : 2.605180
Loss : 2.682600
Loss : 2.777343
Loss : 2.547222
Loss : 2.683217
Loss : 2.763484
Loss : 2.757061
Loss : 2.625785
Loss : 2.593454
Loss : 2.725212
Loss : 2.734825
Loss : 2.670411
Loss : 2.742203
Loss : 2.789872
Loss : 2.787444
Loss : 2.761574
Loss : 2.703059
Loss : 2.615761
Loss : 2.672747
Loss : 2.766243
Loss : 2.679094
Loss : 2.789498
Loss : 2.790542
Loss : 2.788141
Loss : 2.715377
Loss : 2.743510
Loss : 2.599732
Loss : 2.681112
Loss : 2.788479
Loss : 2.808238
Loss : 2.778802
Loss : 2.731572
Loss : 2.755139
Loss : 2.750623
Loss : 2.819910
Loss : 2.742598
Loss : 2.724987
Loss : 2.741982
Loss : 2.776661
Loss : 2.722098
Loss : 2.654379
Loss : 2.504777
Loss : 2.573151
Loss : 2.692399
Loss : 2.786382
Loss : 2.699620
Loss : 2.732066
Loss : 2.728886
Loss : 2.577062
Loss : 2.554743
Loss : 2.801259
Loss : 2.745025
Loss : 2.801987
Loss : 2.617785
Loss : 2.407004
Loss : 2.711972
Loss : 2.741732
Loss : 2.878801
Loss : 2.727414
Loss : 2.744364
Loss : 2.634325
Loss : 2.529770
Loss : 2.575927
Loss : 2.653785
Loss : 2.799790
Loss : 2.651582
Loss : 2.686620
Loss : 2.739841
Loss : 2.795350
Loss : 2.689237
Loss : 2.719360
Loss : 2.765053
Loss : 2.808453
Loss : 2.765384
Loss : 2.686655
Loss : 2.772433
Loss : 2.650014
Loss : 2.757114
Loss : 2.716499
Loss : 2.695457
Loss : 2.802038
Loss : 2.796674
Loss : 2.816759
Loss : 2.657372
Loss : 2.770296
Loss : 2.660990
Loss : 2.723950
Loss : 2.540420
Loss : 2.827788
Loss : 2.653669
Loss : 2.780358
Loss : 2.782755
Loss : 2.550078
Loss : 2.671318
Loss : 2.787344
Loss : 2.674986
Loss : 2.769972
Loss : 2.679583
Loss : 2.741487
Loss : 2.708404
Loss : 2.654229
Loss : 2.704998
Loss : 2.654223
Loss : 2.741971
Loss : 2.851128
Loss : 2.844665
Loss : 2.638613
Loss : 2.923671
Loss : 2.729875
Loss : 2.794391
Loss : 2.810106
Loss : 2.832887
Loss : 2.795830
Loss : 2.654349
Loss : 2.879771
Loss : 2.672123
Loss : 2.786170
Loss : 2.802110
Loss : 2.724904
Loss : 2.715743
Loss : 2.675946
Loss : 2.467647
Loss : 2.765410
Loss : 2.774521
Loss : 2.727452
Loss : 2.704334
Loss : 2.806987
Loss : 2.666183
Loss : 2.771020
Loss : 2.653370
