preprocessing...
Using Bigram: True
Number of words(bigrams) before hashing: 1532128
Number of words(bigrams) after hashing: 1087465
Time Elapsed for Preprocessing 00:00:09
# of training samples
120000
Loss : 1.380246
Loss : 1.361065
Loss : 1.326983
Loss : 1.263108
Loss : 1.181380
Loss : 1.088926
Loss : 0.994400
Loss : 0.897794
Loss : 0.833015
Loss : 0.778537
Loss : 0.723898
Loss : 0.676607
Loss : 0.643535
Loss : 0.602453
Loss : 0.571655
Loss : 0.559486
Loss : 0.542785
Loss : 0.521473
Loss : 0.502847
Loss : 0.484161
Loss : 0.465212
Loss : 0.461224
Loss : 0.457692
Loss : 0.446683
Loss : 0.297884
Loss : 0.295785
Loss : 0.296468
Loss : 0.279051
Loss : 0.283695
Loss : 0.277190
Loss : 0.254263
Loss : 0.261068
Loss : 0.270364
Loss : 0.260847
Loss : 0.245169
Loss : 0.257690
Loss : 0.246850
Loss : 0.248427
Loss : 0.248632
Loss : 0.248776
Loss : 0.238091
Loss : 0.235882
Loss : 0.245569
Loss : 0.227722
Loss : 0.223304
Loss : 0.232542
Loss : 0.224907
Loss : 0.234087
Loss : 0.091294
Loss : 0.093320
Loss : 0.086410
Loss : 0.085316
Loss : 0.088722
Loss : 0.082083
Loss : 0.086584
Loss : 0.082358
Loss : 0.085479
Loss : 0.090925
Loss : 0.086532
Loss : 0.082913
Loss : 0.084020
Loss : 0.088985
Loss : 0.088249
Loss : 0.092744
Loss : 0.086028
Loss : 0.082766
Loss : 0.077628
Loss : 0.080544
Loss : 0.089122
Loss : 0.088457
Loss : 0.081949
Loss : 0.082378
Loss : 0.037201
Loss : 0.034549
Loss : 0.036951
Loss : 0.032140
Loss : 0.036549
Loss : 0.040927
Loss : 0.038497
Loss : 0.036609
Loss : 0.034610
Loss : 0.033814
Loss : 0.037025
Loss : 0.031966
Loss : 0.035667
Loss : 0.036203
Loss : 0.038134
Loss : 0.038614
Loss : 0.036331
Loss : 0.033807
Loss : 0.040916
Loss : 0.037153
Loss : 0.037196
Loss : 0.038393
Loss : 0.037004
Loss : 0.035727
Loss : 0.021463
Loss : 0.022871
Loss : 0.022601
Loss : 0.020754
Loss : 0.020333
Loss : 0.019070
Loss : 0.020382
Loss : 0.025171
Loss : 0.026896
Loss : 0.020311
Loss : 0.024938
Loss : 0.020934
Loss : 0.024567
Loss : 0.023505
Loss : 0.023656
Loss : 0.020043
Loss : 0.022574
Loss : 0.021496
Loss : 0.022959
Loss : 0.025445
Loss : 0.022315
Loss : 0.023756
Loss : 0.021748
Loss : 0.030110
Loss : 0.015517
Loss : 0.017504
Loss : 0.017716
Loss : 0.014426
Loss : 0.015578
Loss : 0.015764
Loss : 0.014648
Loss : 0.016786
Loss : 0.014247
Loss : 0.017337
Loss : 0.016212
Loss : 0.015189
Loss : 0.016827
Loss : 0.016411
Loss : 0.019328
Loss : 0.019795
Loss : 0.015116
Loss : 0.017199
Loss : 0.018310
Loss : 0.017135
Loss : 0.018302
Loss : 0.017161
Loss : 0.014048
Loss : 0.016721
Loss : 0.011460
Loss : 0.012242
Loss : 0.012119
Loss : 0.010778
Loss : 0.013467
Loss : 0.013175
Loss : 0.013362
Loss : 0.009635
Loss : 0.012713
Loss : 0.011354
Loss : 0.012657
Loss : 0.013873
Loss : 0.012298
Loss : 0.012133
Loss : 0.012902
Loss : 0.011999
Loss : 0.013515
Loss : 0.011490
Loss : 0.015435
Loss : 0.014514
Loss : 0.013304
Loss : 0.018548
Loss : 0.013656
Loss : 0.012865
Time Elapsed for Training 00:01:37
Correct !!! 1     th article is classified as Business   ,actually is  Business  
Correct !!! 2     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 3     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 4     th article is classified as Sports     ,actually is  Sci/Tech  
Correct !!! 5     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 6     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 7     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 8     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 9     th article is classified as World      ,actually is  Sci/Tech  
Correct !!! 10    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 11    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 12    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 13    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 14    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 15    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 16    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 17    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 18    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 19    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
