loading...
preprocessing...
build training set...
Vocabulary size
71291

# of training samples
16718844

Loss : 7.432985
Loss : 7.344430
Loss : 7.322803
Loss : 7.331649
Loss : 7.211304
Loss : 7.194851
Loss : 7.350187
Loss : 7.217052
Loss : 7.257305
Loss : 7.285147
Loss : 6.926159
Loss : 7.215002
Loss : 7.064968
Loss : 7.226156
Loss : 7.005450
Loss : 7.186659
Loss : 7.298721
Loss : 7.043873
Loss : 6.804462
Loss : 7.093992
Loss : 6.835923
Loss : 6.997786
Loss : 7.028729
Loss : 7.067658
Loss : 7.241058
Loss : 7.012044
Loss : 7.177905
Loss : 6.903934
Loss : 7.077459
Loss : 7.001455
Loss : 7.302851
Loss : 7.107048
Loss : 7.030402
Loss : 7.183178
Loss : 7.114137
Loss : 7.110214
Loss : 6.914066
Loss : 7.282173
Loss : 7.276123
Loss : 7.215954
Loss : 7.187321
Loss : 7.007353
Loss : 7.141961
Loss : 7.193203
Loss : 7.155197
Loss : 7.227089
Loss : 7.244043
Loss : 6.884331
Loss : 6.899328
Loss : 7.176537
Loss : 7.065418
Loss : 7.170535
Loss : 7.069306
Loss : 7.075279
Loss : 7.031447
Loss : 7.077238
Loss : 7.159307
Loss : 7.058679
Loss : 7.198182
Loss : 7.128601
Loss : 7.021118
Loss : 7.075124
Loss : 6.947406
Loss : 7.135154
Loss : 7.126450
Loss : 6.868309
Loss : 7.195950
Loss : 7.033745
Loss : 7.217794
Loss : 7.122209
Loss : 7.193400
Loss : 7.043476
Loss : 7.155616
Loss : 6.983939
Loss : 7.040998
Loss : 7.110852
Loss : 7.119932
Loss : 7.190410
Loss : 7.220883
Loss : 7.082580
Loss : 6.975815
Loss : 6.940412
Loss : 6.806909
Loss : 7.067087
Loss : 7.317599
Loss : 7.209485
Loss : 7.064811
Loss : 7.047204
Loss : 7.039105
Loss : 7.260232
Loss : 6.857310
Loss : 7.255803
Loss : 7.191353
Loss : 7.037208
Loss : 7.033980
Loss : 7.125642
Loss : 7.137101
Loss : 7.112784
Loss : 7.415989
Loss : 7.101572
Loss : 7.011673
Loss : 7.109780
Loss : 7.366803
Loss : 7.063417
Loss : 7.110060
Loss : 7.231392
Loss : 7.058413
Loss : 7.157605
Loss : 7.216651
Loss : 7.155716
Loss : 7.102519
Loss : 7.109107
Loss : 7.101766
Loss : 7.075665
Loss : 6.973738
Loss : 7.044965
Loss : 7.105336
Loss : 7.139424
Loss : 7.102353
Loss : 7.202694
Loss : 7.072741
Loss : 6.993875
Loss : 6.842702
Loss : 7.058690
Loss : 6.975912
Loss : 7.040982
Loss : 7.059147
Loss : 6.695334
Loss : 7.014212
Loss : 7.057206
Loss : 7.035188
Loss : 7.152286
Loss : 7.105648
Loss : 6.939410
Loss : 6.948127
Loss : 7.004034
Loss : 7.108349
Loss : 6.869125
Loss : 7.111437
Loss : 7.271579
Loss : 7.079963
Loss : 6.917674
Loss : 7.010010
Loss : 6.992859
Loss : 6.827817
Loss : 6.841557
Loss : 6.945854
Loss : 7.125367
Loss : 7.048966
Loss : 7.053475
Loss : 6.878504
Loss : 7.006200
Loss : 7.109045
Loss : 6.943727
Loss : 7.067220
Loss : 7.112364
Loss : 6.967702
Loss : 6.909418
Loss : 7.058200
Loss : 7.006876
Loss : 7.081682
Loss : 6.975002
Loss : 6.996536
Loss : 6.924497
Loss : 7.026831
Loss : 7.017192
Loss : 7.031797
Loss : 6.978887
Loss : 7.051745
Loss : 6.965060
Loss : 6.577572
Loss : 7.008595
Loss : 6.961999
Loss : 6.785328
Loss : 6.873868
Loss : 7.131073
Loss : 7.823370
Loss : 6.780336
Loss : 6.985698
Loss : 7.054464
Loss : 7.052602
Loss : 7.141344
Loss : 6.842740
Loss : 6.965206
Loss : 6.986555
Loss : 6.947163
Loss : 6.933610
Loss : 7.038909
Loss : 6.744624
Loss : 6.688810
Loss : 6.960511
Loss : 6.852188
Loss : 7.028042
Loss : 6.940642
Loss : 7.018089
Loss : 6.928585
Loss : 7.044023
Loss : 7.019426
Loss : 7.127363
Loss : 6.995064
Loss : 6.914550
Loss : 7.046788
Loss : 7.041557
Loss : 7.064879
Loss : 6.845960
Loss : 6.946404
Loss : 6.813389
Loss : 6.796532
Loss : 6.894629
Loss : 6.949716
Loss : 7.029094
Loss : 6.972754
Loss : 6.918364
Loss : 7.008727
Loss : 6.784726
Loss : 6.852493
Loss : 6.812280
Loss : 6.865515
Loss : 6.924136
Loss : 7.021950
Loss : 6.863332
Loss : 6.953737
Loss : 6.995479
Loss : 6.859353
Loss : 6.884597
Loss : 7.009588
Loss : 7.025062
Loss : 7.061228
Loss : 6.939493
Loss : 6.983964
Loss : 6.914955
Loss : 6.846672
Loss : 6.627665
Loss : 6.963649
Loss : 6.842056
Loss : 6.965587
Loss : 7.004379
Loss : 7.079411
Loss : 6.897671
Loss : 6.361944
Loss : 6.926096
Loss : 6.994221
Loss : 6.957075
Loss : 6.905705
Loss : 7.008867
Loss : 6.842085
Loss : 6.781820
Loss : 7.018197
Loss : 6.751338
Loss : 6.704513
Loss : 6.215565
Loss : 6.087411
Loss : 6.059950
Loss : 6.683368
Loss : 6.664611
Loss : 6.547078
Loss : 6.406297
Loss : 6.628292
Loss : 6.611647
Loss : 6.852982
Loss : 6.650978
Loss : 6.893426
Loss : 6.843457
Loss : 6.840872
Loss : 6.759001
Loss : 6.853519
Loss : 6.998891
Loss : 6.711547
Loss : 6.842309
Loss : 6.838954
Loss : 6.961125
Loss : 6.960969
Loss : 6.964042
Loss : 6.997688
Loss : 7.013246
Loss : 6.830157
Loss : 6.953279
Loss : 6.936320
Loss : 7.022580
Loss : 6.890237
Loss : 6.916262
Loss : 6.670845
Loss : 6.527740
Loss : 6.840675
Loss : 6.799247
Loss : 6.884670
Loss : 7.005330
Loss : 6.903079
