loading...
preprocessing...
build training set...
Vocabulary size
71291

# of training samples
167188440

Time Elapsed for SubSampling 00:01:01

Training Set before Subsampling : 167188440
Number of discard : 50169814
Training Set after Subsampling : 117018626
Loss : 7.609394
Loss : 7.573464
Loss : 7.274630
Loss : 7.238470
Loss : 7.261756
Loss : 7.241338
Loss : 7.440534
Loss : 7.265786
Loss : 7.345639
Loss : 7.235109
Loss : 7.334839
Loss : 7.276927
Loss : 7.395356
Loss : 7.030416
Loss : 7.201498
Loss : 7.449055
Loss : 7.113489
Loss : 7.304349
Loss : 7.186091
Loss : 7.156904
Loss : 7.519354
Loss : 7.223090
Loss : 7.365424
Loss : 7.077641
Loss : 7.181237
Loss : 7.071757
Loss : 7.253596
Loss : 6.924745
Loss : 7.039986
Loss : 7.354488
Loss : 7.089295
Loss : 7.256655
Loss : 7.846611
Loss : 7.156743
Loss : 7.035820
Loss : 7.037574
Loss : 7.256513
Loss : 7.211248
Loss : 7.339697
Loss : 7.258929
Loss : 6.975438
Loss : 7.076135
Loss : 6.777328
Loss : 7.127323
Loss : 7.192710
Loss : 7.189114
Loss : 7.318541
Loss : 7.441571
Loss : 7.484226
Loss : 7.217461
Loss : 7.329541
Loss : 7.348877
Loss : 7.222980
Loss : 7.259626
Loss : 7.239679
Loss : 7.126620
Loss : 7.123014
Loss : 7.375108
Loss : 7.250069
Loss : 7.532506
Loss : 7.472215
Loss : 7.101952
Loss : 7.067835
Loss : 7.061740
Loss : 6.926304
Loss : 7.302850
Loss : 7.363745
Loss : 7.149627
Loss : 7.375242
Loss : 7.223415
Loss : 7.438023
Loss : 7.190092
Loss : 6.949940
Loss : 7.270611
Loss : 6.881183
Loss : 6.321910
Loss : 7.070691
Loss : 7.065962
Loss : 7.283479
Loss : 6.990349
Loss : 7.299108
Loss : 7.423623
Loss : 7.110879
Loss : 7.095290
Loss : 6.957171
Loss : 6.952061
Loss : 6.926581
Loss : 7.154272
Loss : 7.125041
Loss : 6.961114
Loss : 7.363942
Loss : 7.172608
Loss : 7.182643
Loss : 7.367715
Loss : 7.206897
Loss : 7.100451
Loss : 7.245244
Loss : 6.999809
Loss : 6.976146
Loss : 7.167212
Loss : 7.153887
Loss : 6.707363
Loss : 7.029373
Loss : 7.158844
Loss : 6.991918
Loss : 6.892434
Loss : 7.319325
Loss : 7.389592
Loss : 7.107116
Loss : 7.258959
Loss : 6.597185
Loss : 7.361550
Loss : 7.015349
Loss : 7.404279
Loss : 7.231777
Loss : 7.319963
Loss : 7.239865
Loss : 7.342317
Loss : 7.075901
Loss : 6.867331
Loss : 7.140711
Loss : 7.007211
Loss : 6.915869
Loss : 7.056129
Loss : 6.957293
Loss : 6.962618
Loss : 7.073040
Loss : 6.714841
Loss : 6.365259
Loss : 6.511824
Loss : 7.340888
Loss : 7.414506
Loss : 6.881796
Loss : 7.467313
Loss : 7.075353
Loss : 7.059248
Loss : 6.916272
Loss : 6.658584
Loss : 6.945912
Loss : 6.726981
Loss : 6.448055
Loss : 6.930991
Loss : 6.803805
Loss : 7.194556
Loss : 6.920904
Loss : 6.738209
Loss : 6.989788
Loss : 6.746347
Loss : 6.896379
Loss : 7.063078
Loss : 6.989642
Loss : 6.966966
Loss : 7.094975
Loss : 6.663027
Loss : 6.896208
Loss : 7.055551
Loss : 6.902092
Loss : 7.204044
Loss : 7.287806
Loss : 6.700705
Loss : 7.194211
Loss : 7.197309
Loss : 6.964426
Loss : 7.137809
Loss : 7.192584
Loss : 7.237464
Loss : 7.136955
Loss : 7.434114
Loss : 7.259608
Loss : 7.199478
Loss : 7.119507
Loss : 7.216610
Loss : 7.324621
Loss : 7.249947
Loss : 7.191915
Loss : 6.815676
Loss : 6.686176
Loss : 6.849793
Loss : 7.150802
Loss : 7.036676
Loss : 6.994114
Loss : 7.155403
Loss : 7.069591
Loss : 6.879781
Loss : 7.120459
Loss : 7.342990
Loss : 7.212962
Loss : 7.071330
Loss : 6.540756
Loss : 6.870306
Loss : 7.204689
Loss : 6.884036
Loss : 7.347003
Loss : 6.844241
Loss : 6.931748
Loss : 6.998159
Loss : 7.312338
Loss : 7.091855
Loss : 6.644928
Loss : 7.125982
Loss : 7.382170
Loss : 7.061668
Loss : 6.953101
Loss : 7.153719
Loss : 7.101850
Loss : 6.992392
Loss : 6.554310
Loss : 7.158810
Loss : 7.276745
Loss : 7.469521
Loss : 7.237552
Loss : 7.176106
Loss : 7.133709
Loss : 7.411919
Loss : 7.035512
Loss : 7.163894
Loss : 6.967631
Loss : 7.460855
Loss : 6.916452
Loss : 6.976889
Loss : 7.332410
Loss : 7.002635
Loss : 6.915037
Loss : 6.988983
Loss : 7.182018
Loss : 7.079509
Loss : 7.192805
Loss : 7.258059
Loss : 6.954728
Loss : 7.066901
Loss : 7.195507
Loss : 6.872280
Loss : 6.844946
Loss : 7.561261
Loss : 7.263299
Loss : 7.312600
Loss : 7.228498
Loss : 6.959051
Loss : 7.380357
Loss : 7.482010
Loss : 7.068994
Loss : 7.179723
Loss : 6.825824
Loss : 7.378811
Loss : 7.262137
Loss : 7.113263
Loss : 7.230427
Loss : 6.807711
Loss : 6.975724
Loss : 6.521177
Loss : 7.049860
Loss : 7.047537
Loss : 6.951614
Loss : 6.991345
Loss : 7.017203
Loss : 6.457178
Loss : 7.418431
Loss : 7.375723
Loss : 6.988467
Loss : 7.154992
Loss : 7.316216
Loss : 7.135064
Loss : 7.041891
Loss : 7.159484
Loss : 7.218769
Loss : 7.322644
Loss : 7.213315
Loss : 7.245009
Loss : 7.539421
Loss : 7.118186
Loss : 7.326193
Loss : 7.317504
Loss : 6.845087
Loss : 7.062848
Loss : 7.482685
Loss : 7.246970
Loss : 6.990607
Loss : 7.151013
Loss : 6.971760
Loss : 7.306336
Loss : 7.463990
Loss : 7.407639
