loading...
preprocessing...
build training set...
Vocabulary size
71291

# of training samples
167188440

Loss : 12.903448
Loss : 9.902853
Loss : 8.195910
Loss : 7.646239
Loss : 6.947990
Loss : 6.287919
Loss : 5.873320
Loss : 5.582087
Loss : 5.580313
Loss : 5.451708
Loss : 5.409472
Loss : 4.875608
Loss : 4.388035
Loss : 4.789218
Loss : 4.679688
Loss : 4.846666
Loss : 4.512296
Loss : 4.605260
Loss : 4.585725
Loss : 4.429310
Loss : 4.302337
Loss : 4.380184
Loss : 4.389771
Loss : 3.743035
Loss : 4.322881
Loss : 4.111789
Loss : 4.032539
Loss : 4.089663
Loss : 4.265308
Loss : 4.163263
Loss : 3.839967
Loss : 4.121106
Loss : 3.877561
Loss : 3.835705
Loss : 3.894574
Loss : 3.537531
Loss : 3.857473
Loss : 4.237269
Loss : 3.494163
Loss : 3.871663
Loss : 3.661254
Loss : 4.008376
Loss : 3.487981
Loss : 3.623028
Loss : 3.629334
Loss : 3.646001
Loss : 4.354551
Loss : 3.808231
Loss : 3.772257
Loss : 3.640604
Loss : 3.601858
Loss : 3.741349
Loss : 3.590107
Loss : 3.623082
Loss : 3.606523
Loss : 3.781086
Loss : 3.427699
Loss : 3.527214
Loss : 3.463298
Loss : 3.377970
Loss : 3.032933
Loss : 3.249524
Loss : 3.777854
Loss : 3.664456
Loss : 3.620000
Loss : 3.531587
Loss : 3.647459
Loss : 3.766512
Loss : 3.739139
Loss : 3.709530
Loss : 3.471572
Loss : 3.752383
Loss : 3.711858
Loss : 3.663556
Loss : 3.415760
Loss : 3.654869
Loss : 3.641967
Loss : 3.473356
Loss : 3.532672
Loss : 3.396743
Loss : 3.246531
Loss : 3.558796
Loss : 3.738977
Loss : 3.347670
Loss : 3.694788
Loss : 3.458913
Loss : 3.416541
Loss : 3.480354
Loss : 3.520878
Loss : 3.388718
Loss : 3.243992
Loss : 3.280589
Loss : 3.312246
Loss : 3.358630
Loss : 3.538702
Loss : 3.440862
Loss : 3.667922
Loss : 3.482648
Loss : 3.519013
Loss : 3.560475
Loss : 3.676704
Loss : 3.471249
Loss : 3.159152
Loss : 3.494109
Loss : 3.282212
Loss : 3.599963
Loss : 3.367541
Loss : 3.181725
Loss : 3.375341
Loss : 3.348947
Loss : 3.293002
Loss : 3.409189
Loss : 3.313794
Loss : 3.301297
Loss : 3.483880
Loss : 3.530076
Loss : 3.565190
Loss : 3.482706
Loss : 3.447623
Loss : 3.377637
Loss : 3.280759
Loss : 3.238413
Loss : 3.393180
Loss : 3.268890
Loss : 3.485149
Loss : 3.533220
Loss : 3.273898
Loss : 3.329981
Loss : 3.495202
Loss : 3.411313
Loss : 3.485212
Loss : 3.397354
Loss : 3.451248
Loss : 3.482550
Loss : 3.389945
Loss : 3.414654
Loss : 3.402257
Loss : 3.335796
Loss : 3.262963
Loss : 3.367546
Loss : 3.332481
Loss : 3.411077
Loss : 3.328208
Loss : 3.430865
Loss : 3.238175
Loss : 3.267119
Loss : 3.364776
Loss : 3.328624
Loss : 3.355692
Loss : 3.206316
Loss : 2.960790
Loss : 3.368471
Loss : 3.533912
Loss : 3.100460
Loss : 3.558356
Loss : 3.175725
Loss : 3.459167
Loss : 3.212381
Loss : 3.208331
Loss : 3.515496
Loss : 3.342962
Loss : 3.326861
Loss : 3.426407
Loss : 3.470428
Loss : 3.470174
Loss : 3.404169
Loss : 3.378444
Loss : 3.436932
Loss : 3.504281
Loss : 3.259185
Loss : 3.228555
Loss : 3.208387
Loss : 3.368289
Loss : 3.293952
Loss : 3.315117
Loss : 3.255361
Loss : 3.301675
Loss : 3.348996
Loss : 3.191249
Loss : 3.115798
Loss : 3.226351
Loss : 3.303812
Loss : 3.136782
Loss : 3.047786
Loss : 2.996007
Loss : 3.023391
Loss : 3.161156
Loss : 3.538016
Loss : 3.446878
Loss : 3.102201
Loss : 3.394850
Loss : 3.468339
Loss : 3.323940
Loss : 3.366233
Loss : 3.345049
Loss : 3.301770
Loss : 3.179976
Loss : 3.049625
Loss : 3.153983
Loss : 3.229676
Loss : 3.176543
Loss : 3.201479
Loss : 2.904990
Loss : 3.098371
Loss : 3.133671
Loss : 3.365991
Loss : 3.374695
Loss : 3.205287
Loss : 3.042863
Loss : 3.067568
Loss : 3.142925
Loss : 3.301854
Loss : 3.232914
Loss : 3.019670
Loss : 3.329836
Loss : 3.287597
Loss : 3.319415
Loss : 3.269895
Loss : 3.283122
Loss : 3.249241
Loss : 3.163501
Loss : 3.048691
Loss : 3.201686
Loss : 3.228222
Loss : 3.313449
Loss : 2.965926
Loss : 3.435749
Loss : 3.317188
Loss : 3.399185
Loss : 3.338885
Loss : 2.973468
Loss : 3.522254
Loss : 3.278768
Loss : 3.152563
Loss : 3.048286
Loss : 3.287529
Loss : 3.297100
Loss : 3.430571
Loss : 3.305898
Loss : 3.264971
Loss : 3.359010
Loss : 3.417984
Loss : 3.346146
Loss : 3.297587
Loss : 3.319447
Loss : 3.257593
Loss : 3.385009
Loss : 3.189348
Loss : 3.419070
Loss : 3.268352
Loss : 3.382152
Loss : 3.221514
Loss : 3.155549
Loss : 2.837291
Loss : 2.784094
Loss : 3.255858
Loss : 3.129642
Loss : 3.365430
Loss : 3.334484
Loss : 3.109074
Loss : 3.249330
Loss : 3.227940
Loss : 3.252882
Loss : 3.098385
Loss : 3.110842
Loss : 3.378906
Loss : 3.302890
Loss : 3.295153
Loss : 3.333188
Loss : 3.062311
Loss : 3.183516
Loss : 2.516320
Loss : 3.193652
Loss : 3.254613
Loss : 3.331733
Loss : 3.328689
Loss : 3.214572
Loss : 3.305645
Loss : 3.444128
Loss : 2.568164
Loss : 3.197965
Loss : 3.081546
Loss : 3.101412
Loss : 3.316053
Loss : 3.282191
Loss : 3.229734
Loss : 2.865196
Loss : 3.143134
